STATE,STATEFIPS,TP.TotPop,PS.TOPop,PS.Wtotl,DO.SSPop,DO.TOTAL,DO.WFrTo,IR.WFrTo,LI.WFrTo,AQ.WTotl,MI.Wtotl,PT.Wtotl,TO.WGWFr,TO.WGWSa,TO.WGWTo,TO.WSWFr,TO.WSWSa,TO.WSWTo,TO.WFrTo,TO.WSaTo,TO.WTotl
OR,41,3831.074,3224.463,533.79,606.611,431.69,67.07,5257.49,17.04,711.99,8.64,12.68,2133.5,0,2133.5,4600.95,0,4600.95,6734.45,0,6734.45
PA,42,12702.379,9356.82,1424.85,3345.559,748.61,200.72,27.14,52.31,107.59,61.97,5394.08,657.46,0,657.46,7477.44,0,7477.44,8134.9,0,8134.9
PR,72,3725.789,3687.792,677.21,37.997,232.18,2.41,38.16,7.81,0.41,1.93,2273.8,124.63,0.32,124.95,611.06,2270.02,2881.08,735.69,2270.34,3006.03
RI,44,1052.567,939.626,108.03,112.941,75.67,8.02,2.69,0.18,14.5,0.92,233.64,36.5,0,36.5,98,241,339,134.5,241,375.5
SC,45,4625.364,3473.248,618.62,1152.116,462.56,115.25,125.11,12.02,10.97,8.43,5504.08,338.69,0,338.69,6443.51,0,6443.51,6782.2,0,6782.2
SD,46,814.18,738.595,124.21,75.585,76.11,5.37,362.4,47.41,48.4,18.23,10.27,338.62,0,338.62,287.15,0,287.15,625.77,0,625.77
TN,47,6346.105,5807.846,918.44,538.259,509.17,38.72,71.88,27.49,52.64,14.62,5796.78,469.51,0,469.51,7227.08,0,7227.08,7696.59,0,7696.59
TX,48,25145.561,22704.975,3992.84,2440.586,2307.37,258.72,6831.88,258.65,31.37,1013.19,11120.1,6827.56,884.23,7711.79,15809.05,1275.85,17084.9,22636.61,2160.08,24796.69
UT,49,2763.885,2713.371,673,50.514,461.9,8.44,3219.54,16.53,97.13,250.41,80.56,1026.23,92.59,1118.82,3106.78,238.21,3344.99,4133.01,330.8,4463.81
VA,51,8001.024,6351.554,664.64,1649.47,600.09,123.68,61.39,27.36,295.24,34.92,6001.9,299,9.97,308.97,4136.58,3202.48,7339.06,4435.58,3212.45,7648.03
VI,78,106.405,69.012,5.86,37.393,6.34,2.67,0,0.02,0,0.04,116.37,1.14,0,1.14,2.85,123.81,126.66,3.99,123.81,127.8
VT,50,625.741,444.13,43.11,181.611,39.89,13.63,2.45,5.63,10.93,3.85,345.23,41.61,0,41.61,388.91,0,388.91,430.52,0,430.52
WA,53,6724.54,5721.641,909.63,1002.899,746.52,112.84,3146.91,27.75,213.16,16.71,37.93,1601.38,0,1601.38,3321.29,33.14,3354.43,4922.67,33.14,4955.81
WI,55,5686.986,4042.113,481.41,1644.873,289.79,78.36,378.8,73.07,55.76,19.56,4634.49,754.07,0,754.07,5403.52,0,5403.52,6157.59,0,6157.59
WV,54,1852.994,1459.662,189.17,393.332,148.29,31.51,0.09,5.08,52.32,15.55,2471.31,120.54,4.82,125.36,3407.63,0,3407.63,3528.17,4.82,3532.99
WY,56,563.626,449.503,98.98,114.123,81.42,8.55,4369.34,16.48,20.83,117.24,63.35,549.8,67.12,616.92,4084.59,0,4084.59,4634.39,67.12,4701.51
