STATE,STATEFIPS,TP.TotPop,PS.GWPop,PS.SWPop,PS.TOPop,PS.WGWFr,PS.WGWSa,PS.WGWTo,PS.WSWFr,PS.WSWSa,PS.WSWTo,PS.WFrTo,PS.WSaTo,PS.Wtotl,DO.SSPop,DO.WGWFr,DO.WSWFr,DO.WFrTo,DO.SSPCp,DO.PSDel,DO.PSPCp,DO.TOTAL,IN.WGWFr,IN.WGWSa,IN.WGWTo,IN.WSWFr,IN.WSWSa,IN.WSWTo,IN.WFrTo,IN.WSaTo,IN.Wtotl,IR.WGWFr,IR.WSWFr,IR.WFrTo,IR.IrSpr,IR.IrMic,IR.IrSur,IR.IrTot,IC.WGWFr,IC.WSWFr,IC.WFrTo,IC.IrSpr,IC.IrMic,IC.IrSur,IC.IrTot,IG.WGWFr,IG.WSWFr,IG.WFrTo,IG.IrSpr,IG.IrMic,IG.IrSur,IG.IrTot,LI.WGWFr,LI.WSWFr,LI.WFrTo,AQ.WGWFr,AQ.WGWSa,AQ.WGWTo,AQ.WSWFr,AQ.WSWSa,AQ.WSWTo,AQ.WFrTo,AQ.WSaTo,AQ.WTotl,MI.WGWFr,MI.WGWSa,MI.WGWTo,MI.WSWFr,MI.WSWSa,MI.WSWTo,MI.WFrTo,MI.WSaTo,MI.Wtotl,PT.WGWFr,PT.WGWSa,PT.WGWTo,PT.WSWFr,PT.WSWSa,PT.WSWTo,PT.WFrTo,PT.WSaTo,PT.Wtotl,PT.Power,PO.WGWFr,PO.WGWSa,PO.WGWTo,PO.WSWFr,PO.WSWSa,PO.WSWTo,PO.WFrTo,PO.WSaTo,PO.WTotl,PO.Power,PC.WGWFr,PC.WGWSa,PC.WGWTo,PC.WSWFr,PC.WSWSa,PC.WSWTo,PC.WFrTo,PC.WSaTo,PC.WTotl,PC.Power,TO.WGWFr,TO.WGWSa,TO.WGWTo,TO.WSWFr,TO.WSWSa,TO.WSWTo,TO.WFrTo,TO.WSaTo,TO.WTotl
AK,2,710.231,0,0,449.797,27.23,0,27.23,51.82,0,51.82,79.05,0,79.05,260.434,14.14,0.66,14.8,4396,49.18,4934,63.98,3.38,0,3.38,4.4,4.3,8.7,7.78,4.3,12.08,1.57,0.02,1.59,3.1,0,0.07,3.17,1.09,0.02,1.11,2.52,0,0.07,2.59,0.48,0,0.48,0.58,0,0,0.58,0.1,0.15,0.25,429.29,0,429.29,254.56,0,254.56,683.85,0,683.85,0.01,144.46,144.47,24.08,76.37,100.45,24.09,220.83,244.92,2.19,0,2.19,55.8,0,55.8,57.99,0,57.99,1762.4,0,0,0,55.8,0,55.8,55.8,0,55.8,533,2.19,0,2.19,0,0,0,2.19,0,2.19,1229.4,477.91,144.46,622.37,391.49,80.67,472.16,869.4,225.13,1094.53
AL,1,4779.736,0,0,4240.342,280.5,0,280.5,550.57,0,550.57,831.07,0,831.07,539.394,37.97,0,37.97,11320,326.69,13783,364.66,33.95,0,33.95,540.48,0,540.48,574.43,0,574.43,84.9,74,158.9,149.61,1.42,0.52,151.55,84.9,57.73,142.63,124.32,1.42,0.52,126.26,0,16.27,16.27,25.29,0,0,25.29,11.68,14.8,26.48,32.45,0,32.45,26.65,0,26.65,59.1,0,59.1,12.72,0,12.72,7.49,0,7.49,20.21,0,20.21,0,0,0,8251.81,0,8251.81,8251.81,0,8251.81,124973.98,0,0,0,8118.23,0,8118.23,8118.23,0,8118.23,74302.93,0,0,0,133.58,0,133.58,133.58,0,133.58,50671.05,494.17,0,494.17,9465.8,0,9465.8,9959.97,0,9959.97
AR,5,2915.918,985.403,1786.081,2771.484,133.66,0,133.66,295.01,0,295.01,428.67,0,428.67,144.434,12.84,0,12.84,9209,295.42,1437,308.26,56.12,5.05,61.17,214.4,0,214.4,270.52,5.05,275.57,7378.33,1341.4,8719.73,518.47,0,4153.62,4672.09,7378.33,1341.4,8719.73,518.47,0,4153.62,4672.09,0,0,0,0,0,0,0,15.56,23.4,38.96,181.14,0,181.14,86.46,0,86.46,267.6,0,267.6,0.18,0,0.18,44.11,0,44.11,44.29,0,44.29,4.26,0,4.26,1535.04,0,1535.04,1539.3,0,1539.3,48980.15,0.8,0,0.8,1476.54,0,1476.54,1477.34,0,1477.34,20089.51,3.46,0,3.46,58.5,0,58.5,61.96,0,61.96,28890.64,7782.09,5.05,7787.14,3539.82,0,3539.82,11321.91,5.05,11326.96
AZ,4,6392.333,3479.722,2694.441,6174.163,585.07,0,585.07,628.35,0,628.35,1213.42,0,1213.42,218.17,27.18,0,27.18,919,912.01,811,939.19,12.92,0,12.92,0,0,0,12.92,0,12.92,1693.89,2875.48,4569.37,195.05,28.07,770.04,993.16,1617.41,2835.8,4453.21,165.37,28.07,770.04,963.48,76.48,39.68,116.16,29.68,0,0,29.68,26.96,0,26.96,39.51,0,39.51,7.77,0,7.77,47.28,0,47.28,86.61,0,86.61,0,0,0,86.61,0,86.61,77.28,0,77.28,27.14,0,27.14,104.42,0,104.42,86669.71,0,0,0,0,0,0,0,0,0,0,77.28,0,77.28,27.14,0,27.14,104.42,0,104.42,86669.71,2549.42,0,2549.42,3538.74,0,3538.74,6088.16,0,6088.16
CA,6,37253.956,14577.672,20200.237,34777.909,2742.2,84.29,2826.49,3472.23,0,3472.23,6214.43,84.29,6298.72,2476.047,142.47,29.45,171.92,9628,3865.64,5459,4037.56,399.27,0,399.27,1.13,0,1.13,400.4,0,400.4,8685.98,14370.51,23056.49,1792.5,2892.85,5665.98,10351.33,8553.37,14290.06,22843.43,1701.25,2892.85,5665.98,10260.08,132.61,80.45,213.06,91.25,0,0,91.25,84.41,103.38,187.79,171.22,0,171.22,802.12,0,802.12,973.34,0,973.34,24.12,236,260.12,12.25,0.05,12.3,36.37,236.05,272.42,33.14,48.45,81.59,32.22,6487.29,6519.51,65.36,6535.74,6601.1,85431.59,0.73,0,0.73,0,6486.25,6486.25,0.73,6486.25,6486.98,40142.37,32.41,48.45,80.86,32.22,1.04,33.26,64.63,49.49,114.12,45289.22,12282.81,368.74,12651.55,18823.29,6487.34,25310.63,31106.1,6856.08,37962.18
CO,8,5029.196,661.872,4055.705,4717.577,130.22,0,130.22,717.31,0,717.31,847.53,0,847.53,311.619,37.93,0,37.93,5795,521.02,7461,558.95,3.45,0,3.45,126.78,0,126.78,130.23,0,130.23,1296.69,8418.02,9714.71,1413.2,0.2,1926.19,3339.59,1289.24,8388.9,9678.14,1387.16,0.2,1926.19,3313.55,7.45,29.12,36.57,26.04,0,0,26.04,25.07,11.8,36.87,23.04,0,23.04,98.98,0,98.98,122.02,0,122.02,5.46,19.42,24.88,3.05,0,3.05,8.51,19.42,27.93,16.78,0,16.78,60.2,0,60.2,76.98,0,76.98,38281.13,3.93,0,3.93,13.77,0,13.77,17.7,0,17.7,722.24,12.85,0,12.85,46.43,0,46.43,59.28,0,59.28,37558.89,1538.64,19.42,1558.06,9436.14,0,9436.14,10974.78,19.42,10994.2
CT,9,3574.097,0,0,2702.724,135.06,0,135.06,292,0,292,427.06,0,427.06,871.373,65.35,0,65.35,1416,202.71,1728,268.06,6.28,0,6.28,60.18,38.46,98.64,66.46,38.46,104.92,0.85,23.11,23.96,23.99,1.83,0,25.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,1.01,6.67,0,6.67,23.05,0,23.05,29.72,0,29.72,0.92,0,0.92,3.8,0,3.8,4.72,0,4.72,0,0,0,197.82,2456.4,2654.22,197.82,2456.4,2654.22,21596.89,0,0,0,197.72,2456.4,2654.12,197.72,2456.4,2654.12,21540.08,0,0,0,0.1,0,0.1,0.1,0,0.1,56.81,216.14,0,216.14,599.96,2494.86,3094.82,816.1,2494.86,3310.96
DC,11,601.723,0,601.723,601.723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.94,28,74.94,0,0,0,0,0,0,0,0,0,0.05,0.05,0.1,0.32,0,0,0.32,0,0,0,0,0,0,0,0.05,0.05,0.1,0.32,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0.05,0,0.05,0.1,0,0.1
DE,10,897.934,270.937,441.73,712.667,44.76,0,44.76,33.3,0,33.3,78.06,0,78.06,185.267,14.82,0,14.82,546,57.02,666,71.84,8.43,0,8.43,87.53,0,87.53,95.96,0,95.96,86.12,15.21,101.33,131.9,1.11,0,133.01,82.35,14.53,96.88,129.16,1.11,0,130.27,3.77,0.68,4.45,2.74,0,0,2.74,1.31,0,1.31,0.06,0,0.06,0,0,0,0.06,0,0.06,0.44,0,0.44,0.41,0,0.41,0.85,0,0.85,0.37,0,0.37,7.45,417.25,424.7,7.82,417.25,425.07,5154,0,0,0,0,417.25,417.25,0,417.25,417.25,2946,0.37,0,0.37,7.45,0,7.45,7.82,0,7.82,2208,156.31,0,156.31,143.9,417.25,561.15,300.21,417.25,717.46
FL,12,18801.31,15420.651,1473.056,16893.707,1864.55,147.62,2012.17,238.68,16.97,255.65,2103.23,164.59,2267.82,1907.603,213.84,0,213.84,9944,1430.25,10677,1644.09,165.45,0,165.45,47.71,0,47.71,213.16,0,213.16,1581.32,1338.52,2919.84,547.99,711.85,731.48,1991.32,1484.36,1239.03,2723.39,426.31,711.85,731.48,1869.64,96.96,99.49,196.45,121.68,0,0,121.68,19.11,2.22,21.33,1.86,0,1.86,0,0,0,1.86,0,1.86,78.75,0,78.75,34.12,0,34.12,112.87,0,112.87,43.48,6.54,50.02,569.71,8565.52,9135.23,613.19,8572.06,9185.25,199349.5,8.12,0,8.12,520.45,8461.95,8982.4,528.57,8461.95,8990.52,98437.5,35.36,6.54,41.9,49.26,103.57,152.83,84.62,110.11,194.73,100912,3968.36,154.16,4122.52,2230.96,8582.49,10813.45,6199.32,8736.65,14935.97
GA,13,9687.655,1662.64,6494.89,8157.53,242.58,0,242.58,872.93,0,872.93,1115.51,0,1115.51,1530.125,114.77,0,114.77,27812,650.58,27012,765.35,205.8,0,205.8,281.33,0,281.33,487.13,0,487.13,636.46,202.33,838.79,1280.01,151.52,0,1431.53,614.97,169.21,784.18,1243.73,151.52,0,1395.25,21.49,33.12,54.61,36.28,0,0,36.28,2.38,26.89,29.27,3.92,0,3.92,45.88,0,45.88,49.8,0,49.8,19.27,0,19.27,8.41,0,8.41,27.68,0,27.68,2.92,0,2.92,1769.92,283.05,2052.97,1772.84,283.05,2055.89,109602.6,1.46,0,1.46,1471.16,283.05,1754.21,1472.62,283.05,1755.67,16730.8,1.46,0,1.46,298.76,0,298.76,300.22,0,300.22,92871.8,1228.1,0,1228.1,3207.69,283.05,3490.74,4435.79,283.05,4718.84
HI,15,1360.301,0,0,1304.617,258.07,0,258.07,15.8,0,15.8,273.87,0,273.87,55.684,1.85,6.17,8.02,189,187.87,205,195.89,4.63,0,4.63,0,0,0,4.63,0,4.63,100.94,222.52,323.46,11.23,158.18,0,169.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,1.2,1.83,2.14,0,2.14,2.4,0,2.4,4.54,0,4.54,1.4,0,1.4,0.11,0,0.11,1.51,0,1.51,53.16,50.75,103.91,0,552,552,53.16,602.75,655.91,6826.57,52.84,46.92,99.76,0,552,552,52.84,598.92,651.76,5087.31,0.32,3.83,4.15,0,0,0,0.32,3.83,4.15,1739.26,422.82,50.75,473.57,248.2,552,800.2,671.02,602.75,1273.77
IA,19,3046.355,0,0,2454.952,308.56,0,308.56,84.31,0,84.31,392.87,0,392.87,591.403,38.38,0,38.38,16419,160.02,20337,198.4,122.57,0,122.57,2.7,0,2.7,125.27,0,125.27,41.64,1.18,42.82,187.22,0,0,187.22,37.75,0.43,38.18,178.29,0,0,178.29,3.89,0.75,4.64,8.93,0,0,8.93,102.13,33.8,135.93,14.45,0,14.45,4.45,0,4.45,18.9,0,18.9,1.53,0,1.53,78.06,0,78.06,79.59,0,79.59,21.15,0,21.15,2215.56,0,2215.56,2236.71,0,2236.71,44717.69,9.39,0,9.39,2197.91,0,2197.91,2207.3,0,2207.3,29634.74,11.76,0,11.76,17.65,0,17.65,29.41,0,29.41,15082.95,650.41,0,650.41,2420.06,0,2420.06,3070.47,0,3070.47
ID,16,1567.582,0,0,1135.637,211.51,0,211.51,27.09,0,27.09,238.6,0,238.6,431.945,79.01,0,79.01,3647,184.38,5024,263.39,32.56,0,32.56,17.16,0,17.16,49.72,0,49.72,3817.53,10222.46,14039.99,2422.1,4.57,1176.01,3602.68,3792.47,10221.04,14013.51,2411.72,4.57,1176.01,3592.3,25.06,1.42,26.48,10.38,0,0,10.38,38.5,9.01,47.51,65.64,0,65.64,2688.92,0,2688.92,2754.56,0,2754.56,1.28,0,1.28,18.92,0,18.92,20.2,0,20.2,0.88,0,0.88,0,0,0,0.88,0,0.88,514.9,0,0,0,0,0,0,0,0,0,0,0.88,0,0.88,0,0,0,0.88,0,0.88,514.9,4246.91,0,4246.91,12983.56,0,12983.56,17230.47,0,17230.47
IL,17,12830.632,3215.92,8459.37,11675.29,366.86,0,366.86,1137.97,0,1137.97,1504.83,0,1504.83,1155.342,92.36,0,92.36,18195,934.05,22633,1026.41,123.66,0,123.66,266.67,0,266.67,390.33,0,390.33,208.28,17.48,225.76,483.23,0,0,483.23,196.3,5.07,201.37,458.36,0,0,458.36,11.98,12.41,24.39,24.87,0,0,24.87,36.03,0.03,36.06,4.78,0,4.78,27.17,0,27.17,31.95,0,31.95,15.5,25.47,40.97,55.36,0,55.36,70.86,25.47,96.33,5.65,0,5.65,10708.03,0,10708.03,10713.68,0,10713.68,191553.79,3.42,0,3.42,10077.37,0,10077.37,10080.79,0,10080.79,92047.69,2.23,0,2.23,630.66,0,630.66,632.89,0,632.89,99506.1,853.12,25.47,878.59,12212.71,0,12212.71,13065.83,25.47,13091.3
IN,18,6483.802,0,0,4825.117,351.33,0,351.33,304.17,0,304.17,655.5,0,655.5,1658.685,126.06,0,126.06,16382,366.7,19963,492.76,82.2,0,82.2,2124.61,0,2124.61,2206.81,0,2206.81,98.41,38.72,137.13,397.11,0,0,397.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.2,13,39.2,6.6,0,6.6,1.97,0,1.97,8.57,0,8.57,4.52,0,4.52,83.73,0,83.73,88.25,0,88.25,24.55,0,24.55,5356.93,0,5356.93,5381.48,0,5381.48,108225.5,20.59,0,20.59,5241.08,0,5241.08,5261.67,0,5261.67,57112.8,3.96,0,3.96,115.85,0,115.85,119.81,0,119.81,51112.7,719.87,0,719.87,7923.13,0,7923.13,8643,0,8643
KS,20,2853.118,0,0,2702.235,159.77,0,159.77,231.41,0,231.41,391.18,0,391.18,150.883,14.88,0,14.88,10323,194.47,16731,209.35,33.5,0,33.5,6.79,0,6.79,40.29,0,40.29,2880.97,160.03,3041,2843.45,18.05,216.51,3078.01,2874.07,155.8,3029.87,2831.08,18.01,216.49,3065.58,6.9,4.23,11.13,12.37,0.04,0.02,12.43,90.97,23.05,114.02,4.37,0,4.37,8.57,0,8.57,12.94,0,12.94,9.34,0,9.34,3.98,0,3.98,13.32,0,13.32,11.19,0,11.19,365.99,0,365.99,377.18,0,377.18,43581.37,0.05,0,0.05,311.41,0,311.41,311.46,0,311.46,11930.73,11.14,0,11.14,54.58,0,54.58,65.72,0,65.72,31650.64,3204.99,0,3204.99,799.82,0,799.82,4004.81,0,4004.81
KY,21,4339.367,0,0,3675.733,70.95,0,70.95,501.25,0,501.25,572.2,0,572.2,663.634,19.69,13.46,33.15,18034,257.29,25206,290.44,81.36,0,81.36,146.36,0,146.36,227.72,0,227.72,1.65,27.38,29.03,54.41,3.56,2.35,60.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21,41.57,43.78,0.53,0,0.53,33.53,0,33.53,34.06,0,34.06,7.8,0,7.8,22.95,0,22.95,30.75,0,30.75,15.3,0,15.3,3340.49,0,3340.49,3355.79,0,3355.79,93401.03,0,0,0,3269.3,0,3269.3,3269.3,0,3269.3,44867.29,15.3,0,15.3,71.19,0,71.19,86.49,0,86.49,48533.74,199.49,0,199.49,4126.99,0,4126.99,4326.48,0,4326.48
LA,22,4533.372,2240.482,1705.385,3945.867,378.3,0,378.3,368.13,0,368.13,746.43,0,746.43,587.505,46.98,0,46.98,11442,425.87,8265,472.85,231.24,0,231.24,1826.79,0,1826.79,2058.03,0,2058.03,669.9,258.04,927.94,87.34,0,838.89,926.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15,3.88,8.03,197.39,0,197.39,113.67,0,113.67,311.06,0,311.06,5.32,0,5.32,5.94,0,5.94,11.26,0,11.26,41.06,0,41.06,4387.84,1.68,4389.52,4428.9,1.68,4430.58,63509.25,30.4,0,30.4,4028.51,1.68,4030.19,4058.91,1.68,4060.59,28442.39,10.66,0,10.66,359.33,0,359.33,369.99,0,369.99,35066.86,1574.34,0,1574.34,6964.29,1.68,6965.97,8538.63,1.68,8540.31
MA,25,6547.629,2100.598,3913.211,6013.809,190.64,0,190.64,487.52,1.14,488.66,678.16,1.14,679.3,533.82,37.9,0,37.9,2249,384.91,2882,422.81,4.28,0,4.28,12.06,0,12.06,16.34,0,16.34,117.83,21.41,139.24,26.22,2.02,12.05,40.29,97.68,21.41,119.09,10.42,0.66,12.05,23.13,20.15,0,20.15,15.8,1.36,0,17.16,0.9,0.5,1.4,7.23,0,7.23,42.42,0,42.42,49.65,0,49.65,1.82,0,1.82,4.78,0,4.78,6.6,0,6.6,0.21,0,0.21,134.19,1931.06,2065.25,134.4,1931.06,2065.46,18517.72,0,0,0,132.57,1931.01,2063.58,132.57,1931.01,2063.58,18139.46,0.21,0,0.21,1.62,0.05,1.67,1.83,0.05,1.88,378.26,360.81,0,360.81,702.88,1932.2,2635.08,1063.69,1932.2,2995.89
MD,24,5773.552,806.526,3897.178,4703.704,89.21,0,89.21,700.52,0,700.52,789.73,0,789.73,1069.848,85.58,0,85.58,4186,506.48,4568,592.06,11.34,0,11.34,38.63,146.33,184.96,49.97,146.33,196.3,53.43,18.65,72.08,101.51,3.43,0,104.94,48.93,15.16,64.09,81.95,3.43,0,85.38,4.5,3.49,7.99,19.56,0,0,19.56,6.02,2.23,8.25,5.06,0,5.06,15.7,0,15.7,20.76,0,20.76,7.25,0,7.25,2.18,0,2.18,9.43,0,9.43,2.25,0,2.25,433.96,5763.69,6197.65,436.21,5763.69,6199.9,41068,2.25,0,2.25,393.35,5751.99,6145.34,395.6,5751.99,6147.59,32922,0,0,0,40.61,11.7,52.31,40.61,11.7,52.31,8146,260.14,0,260.14,1211.87,5910.02,7121.89,1472.01,5910.02,7382.03
ME,23,1328.361,227.39,540.17,767.56,27.66,0,27.66,63.64,0,63.64,91.3,0,91.3,560.801,33.05,0,33.05,2560,39.37,2954,72.42,6.54,0,6.54,185.39,14.85,200.24,191.93,14.85,206.78,2.51,8.77,11.28,46.6,0.06,1.18,47.84,2.37,8.07,10.44,43.58,0.06,1.18,44.82,0.14,0.7,0.84,3.02,0,0,3.02,1.71,0.58,2.29,25.78,0,25.78,21.15,0,21.15,46.93,0,46.93,1.14,0,1.14,3.73,0,3.73,4.87,0,4.87,0.96,0,0.96,25.88,26,51.88,26.84,26,52.84,7651.88,0,0,0,24.1,24.2,48.3,24.1,24.2,48.3,280.35,0.96,0,0.96,1.78,1.8,3.58,2.74,1.8,4.54,7371.53,99.35,0,99.35,309.14,40.85,349.99,408.49,40.85,449.34
MI,26,9883.64,0,0,7207.867,204.3,0,204.3,883.39,0,883.39,1087.69,0,1087.69,2675.773,230.91,0,230.91,15328,547.97,17754,778.88,75,0,75,536.89,0,536.89,611.89,0,611.89,146.69,62.55,209.24,477.22,27.24,1.54,506,129.51,50.79,180.3,443.7,27.24,1.54,472.48,17.18,11.76,28.94,33.52,0,0,33.52,17.71,1.9,19.61,4.21,0,4.21,78.48,0,78.48,82.69,0,82.69,10.14,0.57,10.71,66.04,0,66.04,76.18,0.57,76.75,4.12,0,4.12,8514.29,0,8514.29,8518.41,0,8518.41,106889.69,0.56,0,0.56,8315.56,0,8315.56,8316.12,0,8316.12,84915.2,3.56,0,3.56,198.73,0,198.73,202.29,0,202.29,21974.49,693.08,0.57,693.65,10143.54,0,10143.54,10836.62,0.57,10837.19
MN,27,5303.925,2982.43,1193.52,4175.95,353.21,0,353.21,188.44,0,188.44,541.65,0,541.65,1127.975,78.95,0,78.95,13874,248.13,16355,327.08,61.83,0,61.83,71.7,0,71.7,133.53,0,133.53,170.73,26.71,197.44,515.79,0,24.47,540.26,146.52,19.38,165.9,488.15,0,24.47,512.62,24.21,7.33,31.54,27.64,0,0,27.64,59.33,0,59.33,1.69,0,1.69,15.18,0,15.18,16.87,0,16.87,8.32,0,8.32,276.45,0,276.45,284.77,0,284.77,2.34,0,2.34,2506.33,0,2506.33,2508.67,0,2508.67,42375.37,2.19,0,2.19,1560.18,0,1560.18,1562.37,0,1562.37,28779.44,0.15,0,0.15,946.15,0,946.15,946.3,0,946.3,13595.93,736.4,0,736.4,3084.81,0,3084.81,3821.21,0,3821.21
MO,29,5988.927,0,0,5105.666,292.89,0,292.89,543.45,0,543.45,836.34,0,836.34,883.261,61.81,0,61.81,17346,467.14,20577,528.95,34.27,0,34.27,34.14,0,34.14,68.41,0,68.41,1352.55,49.63,1402.18,544.14,2.08,759.83,1306.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.41,54.45,72.86,10.48,0,10.48,170.16,0,170.16,180.64,0,180.64,24.45,0,24.45,8.41,0,8.41,32.86,0,32.86,19.87,0,19.87,5893.56,0,5893.56,5913.43,0,5913.43,86232.14,7.07,0,7.07,5870.74,0,5870.74,5877.81,0,5877.81,70650.45,12.8,0,12.8,22.82,0,22.82,35.62,0,35.62,15581.69,1814.73,0,1814.73,6753.8,0,6753.8,8568.53,0,8568.53
MS,28,2967.297,2290.848,230.32,2521.168,348.83,0,348.83,46.33,0,46.33,395.16,0,395.16,446.129,44.6,0,44.6,4564,252.12,1126,296.72,77.81,0,77.81,124.96,0,124.96,202.77,0,202.77,1959.87,133.09,2092.96,409.32,0,1380.44,1789.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35,11.07,18.42,113.41,0,113.41,19.3,0,19.3,132.71,0,132.71,8.23,12.57,20.8,0.55,0,0.55,8.78,12.57,21.35,50.01,7.05,57.06,905.49,62.43,967.92,955.5,69.48,1024.98,44203.78,1.48,0,1.48,900.23,62.43,962.66,901.71,62.43,964.14,17968.95,48.53,7.05,55.58,5.26,0,5.26,53.79,7.05,60.84,26234.83,2610.11,19.62,2629.73,1240.79,62.43,1303.22,3850.9,82.05,3932.95
MT,30,989.415,0,0,704.272,65.6,0,65.6,72.37,0,72.37,137.97,0,137.97,285.143,21.21,1.04,22.25,10089,83.23,5943,105.48,36.86,0,36.86,29.57,0,29.57,66.43,0,66.43,126.72,7033.72,7160.44,753.13,0.64,885.9,1639.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.35,29.48,41.83,2.45,0,2.45,16.42,0,16.42,18.87,0,18.87,1.73,18.6,20.33,26.15,0,26.15,27.88,18.6,46.48,0.85,0,0.85,150.12,0,150.12,150.97,0,150.97,19010.64,0,0,0,122.2,0,122.2,122.2,0,122.2,1276.55,0.85,0,0.85,27.92,0,27.92,28.77,0,28.77,17734.09,267.77,18.6,286.37,7358.87,0,7358.87,7626.64,18.6,7645.24
NC,37,9535.483,1286.667,4945.056,6231.723,194.19,0,194.19,765.6,0,765.6,959.79,0,959.79,3303.76,231.35,0,231.35,17105,436.21,20997,667.56,83.82,0,83.82,187.56,0,187.56,271.38,0,271.38,88.26,278.67,366.93,261.93,6.18,0,268.11,67.58,208.7,276.28,220.19,6.18,0,226.37,20.68,69.97,90.65,41.74,0,0,41.74,56.93,15.02,71.95,11.51,0,11.51,1454.72,0,1454.72,1466.23,0,1466.23,27.76,0,27.76,4.87,0,4.87,32.63,0,32.63,0.37,0,0.37,7656.04,1363.45,9019.49,7656.41,1363.45,9019.86,110236.35,0,0,0,6294.47,1363.45,7657.92,6294.47,1363.45,7657.92,71662.8,0.37,0,0.37,1361.57,0,1361.57,1361.94,0,1361.94,38573.55,694.19,0,694.19,10362.48,1363.45,11725.93,11056.67,1363.45,12420.12
ND,38,672.591,0,0,623.236,30.52,0,30.52,38.31,0,38.31,68.83,0,68.83,49.355,3.68,0,3.68,9134,49.88,11736,53.56,5.77,0,5.77,12.91,0,12.91,18.68,0,18.68,77.54,87.23,164.77,191.79,0,42.25,234.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.94,8.62,21.56,0,0,0,5.92,0,5.92,5.92,0,5.92,8.73,13.61,22.34,4.63,0,4.63,13.36,13.61,26.97,0,0,0,836.65,0,836.65,836.65,0,836.65,28386.61,0,0,0,812.01,0,812.01,812.01,0,812.01,10259.27,0,0,0,24.64,0,24.64,24.64,0,24.64,18127.34,139.18,13.61,152.79,994.27,0,994.27,1133.45,13.61,1147.06
NE,31,1826.341,0,0,1480.375,234.21,0,234.21,61.41,0,61.41,295.62,0,295.62,345.966,44.01,0,44.01,2876,130.23,16728,174.24,28.79,0,28.79,2.33,0,2.33,31.12,0,31.12,4300.59,1359.53,5660.12,6373,0.57,2361.37,8734.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,21.18,114.18,6.07,0,6.07,82.2,0,82.2,88.27,0,88.27,0.09,0.13,0.22,8.77,0,8.77,8.86,0.13,8.99,5.25,0,5.25,1788.77,0,1788.77,1794.02,0,1794.02,34411.41,0,0,0,1767.47,0,1767.47,1767.47,0,1767.47,22527.09,5.25,0,5.25,21.3,0,21.3,26.55,0,26.55,11884.32,4712.01,0.13,4712.14,3324.19,0,3324.19,8036.2,0.13,8036.33
NH,33,1316.47,381.1,489.83,870.93,34.7,0,34.7,56.55,0,56.55,91.25,0,91.25,445.54,33.32,0,33.32,1760,58.65,1878,91.97,10.63,0,10.63,7.06,0,7.06,17.69,0,17.69,1.25,0.67,1.92,4.87,0.82,0.23,5.92,0.69,0.35,1.04,1.51,0.82,0.23,2.56,0.56,0.32,0.88,3.36,0,0,3.36,0.67,0.22,0.89,8.09,0,8.09,8.48,0,8.48,16.57,0,16.57,0.01,0,0.01,2.84,0,2.84,2.85,0,2.85,1.02,0,1.02,201.04,848.06,1049.1,202.06,848.06,1050.12,19504.6,0.27,0,0.27,199.91,845.64,1045.55,200.18,845.64,1045.82,14560.22,0.75,0,0.75,1.13,2.42,3.55,1.88,2.42,4.3,4944.38,89.69,0,89.69,276.86,848.06,1124.92,366.55,848.06,1214.61
NJ,34,8791.894,3394.57,4433.217,7827.787,397.91,0,397.91,682.19,0,682.19,1080.1,0,1080.1,964.107,98.34,0,98.34,1935,604.99,4470,703.33,34.78,0,34.78,48.49,0,48.49,83.27,0,83.27,67.58,70.06,137.64,68.82,25.55,4.93,99.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0.98,9.16,0,9.16,0,0,0,9.16,0,9.16,1.73,0,1.73,6.91,0,6.91,8.64,0,8.64,1.57,0,1.57,511.71,3739.24,4250.95,513.28,3739.24,4252.52,46044.89,0,0,0,433.14,3739.24,4172.38,433.14,3739.24,4172.38,28278.74,1.57,0,1.57,78.57,0,78.57,80.14,0,80.14,17766.15,612.05,0,612.05,1319.36,3739.24,5058.6,1931.41,3739.24,5670.65
