STATE,STATEFIPS,TP.TotPop,PS.GWPop,PS.SWPop,PS.TOPop,PS.WGWFr,PS.WGWSa,PS.WGWTo,PS.WSWFr,PS.WSWSa,PS.WSWTo,PS.WFrTo,PS.WSaTo,PS.Wtotl,DO.SSPop,DO.WGWFr,DO.WSWFr,DO.WFrTo,DO.SSPCp,DO.PSDel,DO.PSPCp,DO.TOTAL,IN.WGWFr,IN.WGWSa,IN.WGWTo,IN.WSWFr,IN.WSWSa,IN.WSWTo,IN.WFrTo,IN.WSaTo,IN.Wtotl,IR.WGWFr,IR.WSWFr,IR.WFrTo,IR.IrSpr,IR.IrMic,IR.IrSur,IR.IrTot,IC.WGWFr,IC.WSWFr,IC.WFrTo,IC.IrSpr,IC.IrMic,IC.IrSur,IC.IrTot,IG.WGWFr,IG.WSWFr,IG.WFrTo,IG.IrSpr,IG.IrMic,IG.IrSur,IG.IrTot,LI.WGWFr,LI.WSWFr,LI.WFrTo,AQ.WGWFr,AQ.WGWSa,AQ.WGWTo,AQ.WSWFr,AQ.WSWSa,AQ.WSWTo,AQ.WFrTo,AQ.WSaTo,AQ.WTotl,MI.WGWFr,MI.WGWSa,MI.WGWTo,MI.WSWFr,MI.WSWSa,MI.WSWTo,MI.WFrTo,MI.WSaTo,MI.Wtotl,PT.WGWFr,PT.WGWSa,PT.WGWTo,PT.WSWFr,PT.WSWSa,PT.WSWTo,PT.WFrTo,PT.WSaTo,PT.Wtotl,PT.Power,PO.WGWFr,PO.WGWSa,PO.WGWTo,PO.WSWFr,PO.WSWSa,PO.WSWTo,PO.WFrTo,PO.WSaTo,PO.WTotl,PO.Power,PC.WGWFr,PC.WGWSa,PC.WGWTo,PC.WSWFr,PC.WSWSa,PC.WSWTo,PC.WFrTo,PC.WSaTo,PC.WTotl,PC.Power,TO.WGWFr,TO.WGWSa,TO.WGWTo,TO.WSWFr,TO.WSWSa,TO.WSWTo,TO.WFrTo,TO.WSaTo,TO.WTotl
SD,46,814.18,283.371,455.224,738.595,74.29,0,74.29,49.92,0,49.92,124.21,0,124.21,75.585,5.37,0,5.37,3627,70.74,8867,76.11,6.85,0,6.85,2.63,0,2.63,9.48,0,9.48,197.58,164.82,362.4,144.19,0,49.63,193.82,197.58,164.82,362.4,144.19,0,49.63,193.82,0,0,0,0,0,0,0,19.12,28.29,47.41,24.85,0,24.85,23.55,0,23.55,48.4,0,48.4,7.22,0,7.22,11.01,0,11.01,18.23,0,18.23,3.34,0,3.34,6.93,0,6.93,10.27,0,10.27,3301.25,0,0,0,0,0,0,0,0,0,0,3.34,0,3.34,6.93,0,6.93,10.27,0,10.27,3301.25,338.62,0,338.62,287.15,0,287.15,625.77,0,625.77
TN,47,6346.105,0,0,5807.846,300.8,0,300.8,617.64,0,617.64,918.44,0,918.44,538.259,38.72,0,38.72,16365,470.45,21190,509.17,47.58,0,47.58,728.44,0,728.44,776.02,0,776.02,44.26,27.62,71.88,74.03,9.8,7.98,91.81,39.15,18.08,57.23,62.4,9.8,7.98,80.18,5.11,9.54,14.65,11.63,0,0,11.63,14.05,13.44,27.49,15.43,0,15.43,37.21,0,37.21,52.64,0,52.64,6.89,0,6.89,7.73,0,7.73,14.62,0,14.62,1.78,0,1.78,5795,0,5795,5796.78,0,5796.78,71861.81,0,0,0,5775,0,5775,5775,0,5775,60451.79,1.78,0,1.78,20,0,20,21.78,0,21.78,11410.02,469.51,0,469.51,7227.08,0,7227.08,7696.59,0,7696.59
TX,48,25145.561,0,0,22704.975,1062.32,72.25,1134.57,2857.79,0.48,2858.27,3920.11,72.73,3992.84,2440.586,258.72,0,258.72,4266,2048.65,41210,2307.37,108.25,2.04,110.29,571.45,608.2,1179.65,679.7,610.24,1289.94,5097.41,1734.47,6831.88,3767.16,243.87,1913.63,5924.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.38,127.27,258.65,9.13,0,9.13,16.87,5.37,22.24,26,5.37,31.37,121.55,809.94,931.49,81.21,0.49,81.7,202.76,810.43,1013.19,38.8,0,38.8,10419.99,661.31,11081.3,10458.79,661.31,11120.1,249333.41,0,0,0,10231.46,657.5,10888.96,10231.46,657.5,10888.96,129002.74,38.8,0,38.8,188.53,3.81,192.34,227.33,3.81,231.14,120330.67,6827.56,884.23,7711.79,15809.05,1275.85,17084.9,22636.61,2160.08,24796.69
UT,49,2763.885,0,0,2713.371,361.16,3,364.16,308.84,0,308.84,670,3,673,50.514,8.44,0,8.44,2000,453.46,3186,461.9,31.17,37.53,68.7,16.4,33.1,49.5,47.57,70.63,118.2,493.94,2725.6,3219.54,624.86,1.45,709.55,1335.86,490.08,2709.31,3199.39,615.4,1.45,709.55,1326.4,3.86,16.29,20.15,9.46,0,0,9.46,7.77,8.76,16.53,97.13,0,97.13,0,0,0,97.13,0,97.13,2.59,41.58,44.17,1.6,204.64,206.24,4.19,246.22,250.41,24.03,10.48,34.51,45.58,0.47,46.05,69.61,10.95,80.56,38906.96,0,0,0,0,0,0,0,0,0,182.9,24.03,10.48,34.51,45.58,0.47,46.05,69.61,10.95,80.56,38724.06,1026.23,92.59,1118.82,3106.78,238.21,3344.99,4133.01,330.8,4463.81
VA,51,8001.024,427.621,5923.933,6351.554,61.02,9.95,70.97,593.67,0,593.67,654.69,9.95,664.64,1649.47,123.68,0,123.68,19688,476.41,28714,600.09,74.25,0.02,74.27,308.56,56.07,364.63,382.81,56.09,438.9,16.03,45.36,61.39,101.97,14.6,0,116.57,11.81,29.97,41.78,64.87,14.6,0,79.47,4.22,15.39,19.61,37.1,0,0,37.1,6.52,20.84,27.36,9.39,0,9.39,285.85,0,285.85,295.24,0,295.24,6.56,0,6.56,28.36,0,28.36,34.92,0,34.92,1.55,0,1.55,2853.94,3146.41,6000.35,2855.49,3146.41,6001.9,53463.08,0,0,0,2828.5,3146.41,5974.91,2828.5,3146.41,5974.91,41815.31,1.55,0,1.55,25.44,0,25.44,26.99,0,26.99,11647.77,299,9.97,308.97,4136.58,3202.48,7339.06,4435.58,3212.45,7648.03
VI,78,106.405,0,0,69.012,0.91,0,0.91,0,4.95,4.95,0.91,4.95,5.86,37.393,0,2.67,2.67,360,3.67,532,6.34,0.22,0,0.22,0,2.62,2.62,0.22,2.62,2.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0.04,0.04,0,0,0,0.17,116.2,116.37,0.17,116.2,116.37,830,0,0,0,0.17,116.2,116.37,0.17,116.2,116.37,830,0,0,0,0,0,0,0,0,0,0,1.14,0,1.14,2.85,123.81,126.66,3.99,123.81,127.8
VT,50,625.741,187.83,256.3,444.13,13.96,0,13.96,29.15,0,29.15,43.11,0,43.11,181.611,13.63,0,13.63,2485,26.26,2775,39.89,2,0,2,3.69,0,3.69,5.69,0,5.69,0.77,1.68,2.45,2.98,0.69,0.31,3.98,0.29,0.49,0.78,0.66,0.69,0.31,1.66,0.48,1.19,1.67,2.32,0,0,2.32,4.22,1.41,5.63,5.97,0,5.97,4.96,0,4.96,10.93,0,10.93,0.32,0,0.32,3.53,0,3.53,3.85,0,3.85,0.74,0,0.74,344.49,0,344.49,345.23,0,345.23,5229.78,0,0,0,344.2,0,344.2,344.2,0,344.2,4782.47,0.74,0,0.74,0.29,0,0.29,1.03,0,1.03,447.31,41.61,0,41.61,388.91,0,388.91,430.52,0,430.52
WA,53,6724.54,0,0,5721.641,470.76,0,470.76,438.87,0,438.87,909.63,0,909.63,1002.899,112.82,0.02,112.84,3478,633.68,4067,746.52,99.36,0,99.36,358.38,33.14,391.52,457.74,33.14,490.88,797.89,2349.02,3146.91,1269.47,86.06,221.17,1576.7,780.25,2339.64,3119.89,1246.76,86.06,221.17,1553.99,17.64,9.38,27.02,22.71,0,0,22.71,19.2,8.55,27.75,86.43,0,86.43,126.73,0,126.73,213.16,0,213.16,13.35,0,13.35,3.36,0,3.36,16.71,0,16.71,1.57,0,1.57,36.36,0,36.36,37.93,0,37.93,20058.72,0,0,0,0,0,0,0,0,0,0,1.57,0,1.57,36.36,0,36.36,37.93,0,37.93,20058.72,1601.38,0,1601.38,3321.29,33.14,3354.43,4922.67,33.14,4955.81
WI,55,5686.986,2185.674,1856.439,4042.113,260.65,0,260.65,220.76,0,220.76,481.41,0,481.41,1644.873,78.36,0,78.36,10373,211.43,13006,289.79,54.3,0,54.3,381.84,0,381.84,436.14,0,436.14,255.77,123.03,378.8,356.08,0,50.32,406.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.77,7.3,73.07,25.51,0,25.51,30.25,0,30.25,55.76,0,55.76,10.93,0,10.93,8.63,0,8.63,19.56,0,19.56,2.78,0,2.78,4631.71,0,4631.71,4634.49,0,4634.49,55404.82,1.35,0,1.35,4597.55,0,4597.55,4598.9,0,4598.9,40000,1.43,0,1.43,34.16,0,34.16,35.59,0,35.59,15404.82,754.07,0,754.07,5403.52,0,5403.52,6157.59,0,6157.59
WV,54,1852.994,308.202,1151.46,1459.662,34.17,0,34.17,155,0,155,189.17,0,189.17,393.332,30.88,0.63,31.51,10009,116.78,12208,148.29,35.13,3.8,38.93,729.03,0,729.03,764.16,3.8,767.96,0.05,0.04,0.09,2.52,0,1.09,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,3.42,5.08,11.72,0,11.72,40.6,0,40.6,52.32,0,52.32,5.53,1.02,6.55,9,0,9,14.53,1.02,15.55,1.4,0,1.4,2469.91,0,2469.91,2471.31,0,2471.31,77450.11,0.02,0,0.02,2315.53,0,2315.53,2315.55,0,2315.55,15962.41,1.38,0,1.38,154.38,0,154.38,155.76,0,155.76,61487.7,120.54,4.82,125.36,3407.63,0,3407.63,3528.17,4.82,3532.99
WY,56,563.626,223.22,226.283,449.503,51.47,0,51.47,47.51,0,47.51,98.98,0,98.98,114.123,8.55,0,8.55,4056,72.87,2011,81.42,4.92,0,4.92,1.82,0,1.82,6.74,0,6.74,437.21,3932.13,4369.34,184.2,4.12,893.41,1081.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.14,10.34,16.48,2.1,0,2.1,18.73,0,18.73,20.83,0,20.83,37.12,67.12,104.24,13,0,13,50.12,67.12,117.24,2.29,0,2.29,61.06,0,61.06,63.35,0,63.35,39648.08,0,0,0,0,0,0,0,0,0,0,2.29,0,2.29,61.06,0,61.06,63.35,0,63.35,39648.08,549.8,67.12,616.92,4084.59,0,4084.59,4634.39,67.12,4701.51
